0,1,2,3,4,5,6
William R. White , Memoranda ," received, 1977.",,,,
William R. White , Memoranda ," received, January ", June 1978.,,,
William R. White , Memoranda ," received, July ", December 1978.,,,
William R. White , Memoranda ," received, 1979.",,,,
William R. White , Memoranda ," received, 1980.",,,,
William R. White , Memoranda ," received, 1981.",,,,
William R. White , Memoranda ," received, January ", March 1982.,,,
William R. White , Memoranda ," received, April ", December 1982.,,,
William R. White , Memoranda ," received from the Press Department, 1976",1979.,,,
William R. White , Memoranda ," to JHG, 1976.",,,,
William R. White , Memoranda ," to JHG, 1977.",,,,
William R. White , Memoranda ," to JHG, 1978.",,,,
William R. White , Memoranda ," to JHG, 1979.",,,,
William R. White , Memoranda ," to JHG, 1980.",,,,
William R. White , Memoranda ," to JHG, 1981.",,,,
William R. White , Memoranda ," to JHG, 1982.",,,,
William R. White , Memoranda ," to JHG, undated.",,,,
William R. White , Memoranda ," on legislative matters, 1976",1977.,,,
William R. White , Memoranda ," on legislative matters, January ", June 1978.,,,
William R. White , Memoranda ," on legislative matters, July ", August 1978.,,,
William R. White , Memoranda ," on legislative matters, September ", December 1978.,,,
William R. White , Memoranda ," on legislative matters, 1979.",,,,
William R. White , Memoranda ," on legislative matters, 1980",1982.,,,
William R. White , Legislation Files ," abortion, 1976",1979.,,,
William R. White , Legislation Files ," appropriations, 1976",1979.,,,
William R. White , Legislation Files , armed services ( B,1; F,14; and the F,"18 aircraft and neutron bomb), 1975", 1978.
William R. White , Legislation Files ," arson, 1978",1981.,,,
William R. White , Legislation Files ," banking, housing, and urban affairs, 1975",1978.,,,
William R. White , Legislation Files ," Black Lung Benefit Program, 1976",1977.,,,
William R. White , Legislation Files ," civil rights, 1978.",,,,
William R. White , Legislation Files ," Consumer Communications Reform Act, 1976",1977.,,,
William R. White , Legislation Files ," Consumer Communications Reform Act,  background materials, 1975",1976.,,,
William R. White , Legislation Files ," energy, 1979.",,,,
William R. White , Legislation Files ," environment, 1977",1978.,,,
William R. White , Legislation Files ," Equal Rights Amendment, 1978.",,,,
William R. White , Legislation Files ," executive reorganization, 1977",1978.,,,
William R. White , Legislation Files ," health issues, 1977",1978.,,,
William R. White , Legislation Files ," Illinois Brick decision, 1978",1979.,,,
William R. White , Legislation Files ," inflation issues, 1978",1979.,,,
William R. White , Legislation Files ," judiciary matters, 1977",1978 and no date.,,,
William R. White , Legislation Files ," laser fusion, 1975.",,,,
William R. White , Legislation Files ," MX missile, 1981.",,,,
